"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 05 22:07:57 GMT 2022","Tue Apr 05 22:08:01 GMT 2022","4125","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectEmail","testLoginWithoutSuccessIncorrectEmail",""
"passed","Wed Apr 06 00:58:20 GMT 2022","Wed Apr 06 00:58:23 GMT 2022","2835","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:00:54 GMT 2022","Tue Apr 05 23:00:58 GMT 2022","4524","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Wed Apr 06 00:58:23 GMT 2022","Wed Apr 06 00:58:26 GMT 2022","3855","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Wed Apr 06 00:58:11 GMT 2022","Wed Apr 06 00:58:14 GMT 2022","3291","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:30:40 GMT 2022","Tue Apr 05 22:30:49 GMT 2022","8280","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:08:01 GMT 2022","Tue Apr 05 22:08:04 GMT 2022","2456","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectPassword","testLoginWithoutSuccessIncorrectPassword",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","31","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:00:58 GMT 2022","Tue Apr 05 23:01:01 GMT 2022","2865","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:24:55 GMT 2022","Tue Apr 05 22:25:08 GMT 2022","12314","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectEmail","testLoginWithoutSuccessIncorrectEmail",""
