"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 05 22:08:01 GMT 2022","Tue Apr 05 22:08:04 GMT 2022","2456","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectPassword","testLoginWithoutSuccessIncorrectPassword",""
"passed","Tue Apr 05 22:30:40 GMT 2022","Tue Apr 05 22:30:49 GMT 2022","8280","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:07:45 GMT 2022","Tue Apr 05 22:07:51 GMT 2022","5860","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessBlankEmail","testLoginWithoutSuccessBlankEmail",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","84","test","Login","tests.LoginTest","tests.LoginTest","loginSuccessfully","loginSuccessfully",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","16","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Wed Mar 31 16:39:46 GMT 2021","Wed Mar 31 16:39:46 GMT 2021","4","test","test1","tests.LoginTest","tests.LoginTest","setup","setup",""
"skipped","Sat Apr 16 21:52:02 GMT 2022","Sat Apr 16 21:52:02 GMT 2022","1","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:31:00 GMT 2022","Tue Apr 05 22:31:08 GMT 2022","8404","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Sat Apr 16 21:52:02 GMT 2022","Sat Apr 16 21:52:02 GMT 2022","1","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","setup","setup",""
"broken","Tue Apr 05 23:01:01 GMT 2022","Tue Apr 05 23:01:05 GMT 2022","3256","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"skipped","Sat Apr 16 21:52:02 GMT 2022","Sat Apr 16 21:52:02 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Wed Apr 07 01:15:13 GMT 2021","Wed Apr 07 01:15:22 GMT 2021","8777","Default Suite","SeleniumJavaAutomation","tests.OrderTest","tests.OrderTest","testMakeOrderSuccesfully","testMakeOrderSuccesfully",""
"passed","Tue Apr 05 22:07:51 GMT 2022","Tue Apr 05 22:07:57 GMT 2022","6243","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessBlankPassword","testLoginWithoutSuccessBlankPassword",""
"skipped","Sat Apr 16 21:52:02 GMT 2022","Sat Apr 16 21:52:02 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:07:27 GMT 2022","Tue Apr 05 22:07:45 GMT 2022","18083","test","Login","tests.LoginTest","tests.LoginTest","testLoginSuccessfully","testLoginSuccessfully",""
"skipped","Sat Apr 16 21:52:02 GMT 2022","Sat Apr 16 21:52:02 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","15","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","22","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"skipped","Sat Apr 16 21:52:02 GMT 2022","Sat Apr 16 21:52:02 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:00:54 GMT 2022","Tue Apr 05 23:00:58 GMT 2022","4524","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","22","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"skipped","Sat Apr 16 21:52:02 GMT 2022","Sat Apr 16 21:52:02 GMT 2022","6","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginSuccessfully","loginSuccessfully",""
"passed","Tue Apr 05 22:24:55 GMT 2022","Tue Apr 05 22:25:08 GMT 2022","12314","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectEmail","testLoginWithoutSuccessIncorrectEmail",""
"passed","Tue Apr 05 22:07:57 GMT 2022","Tue Apr 05 22:08:01 GMT 2022","4125","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectEmail","testLoginWithoutSuccessIncorrectEmail",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","16","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","31","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"skipped","Sat Apr 16 21:52:02 GMT 2022","Sat Apr 16 21:52:02 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:00:58 GMT 2022","Tue Apr 05 23:01:01 GMT 2022","2865","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
