"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 07 01:15:13 GMT 2021","Wed Apr 07 01:15:22 GMT 2021","8777","Default Suite","SeleniumJavaAutomation","tests.OrderTest","tests.OrderTest","testMakeOrderSuccesfully","testMakeOrderSuccesfully",""
"passed","Tue Apr 05 22:24:55 GMT 2022","Tue Apr 05 22:25:08 GMT 2022","12314","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectEmail","testLoginWithoutSuccessIncorrectEmail",""
"passed","Tue Apr 05 22:30:40 GMT 2022","Tue Apr 05 22:30:49 GMT 2022","8280","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Sat Apr 16 22:04:24 GMT 2022","Sat Apr 16 22:04:26 GMT 2022","2162","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:07:45 GMT 2022","Tue Apr 05 22:07:51 GMT 2022","5860","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessBlankEmail","testLoginWithoutSuccessBlankEmail",""
"broken","Wed Mar 31 16:39:46 GMT 2021","Wed Mar 31 16:39:46 GMT 2021","4","test","test1","tests.LoginTest","tests.LoginTest","setup","setup",""
"passed","Tue Apr 05 22:31:00 GMT 2022","Tue Apr 05 22:31:08 GMT 2022","8404","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Sat Apr 16 22:04:15 GMT 2022","Sat Apr 16 22:04:18 GMT 2022","2405","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:07:57 GMT 2022","Tue Apr 05 22:08:01 GMT 2022","4125","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectEmail","testLoginWithoutSuccessIncorrectEmail",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","84","test","Login","tests.LoginTest","tests.LoginTest","loginSuccessfully","loginSuccessfully",""
"passed","Sat Apr 16 22:04:26 GMT 2022","Sat Apr 16 22:04:28 GMT 2022","2157","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:07:51 GMT 2022","Tue Apr 05 22:07:57 GMT 2022","6243","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessBlankPassword","testLoginWithoutSuccessBlankPassword",""
"passed","Tue Apr 05 22:07:27 GMT 2022","Tue Apr 05 22:07:45 GMT 2022","18083","test","Login","tests.LoginTest","tests.LoginTest","testLoginSuccessfully","testLoginSuccessfully",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","31","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Sat Apr 16 22:04:18 GMT 2022","Sat Apr 16 22:04:24 GMT 2022","6011","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:01:01 GMT 2022","Tue Apr 05 23:01:05 GMT 2022","3256","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Sat Apr 16 22:04:13 GMT 2022","Sat Apr 16 22:04:15 GMT 2022","2230","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","15","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","22","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Mon Apr 11 14:08:18 GMT 2022","Mon Apr 11 14:08:18 GMT 2022","4","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","setup","setup",""
"passed","Sat Apr 16 22:04:05 GMT 2022","Sat Apr 16 22:04:11 GMT 2022","5259","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginSuccessfully","loginSuccessfully",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","22","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:00:54 GMT 2022","Tue Apr 05 23:00:58 GMT 2022","4524","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","16","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:00:58 GMT 2022","Tue Apr 05 23:01:01 GMT 2022","2865","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Sat Apr 16 22:04:11 GMT 2022","Sat Apr 16 22:04:13 GMT 2022","2378","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:08:01 GMT 2022","Tue Apr 05 22:08:04 GMT 2022","2456","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectPassword","testLoginWithoutSuccessIncorrectPassword",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","16","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
